chain,category,item_name,calories,protein_g,carbs_g,fat_g,serving_size,serving_g,sodium_mg,fiber_g,sugar_g,sat_fat_g,trans_fat_g,cholesterol_mg,is_sample_data,source_note,calories_from_fat,caffeine_mg
Panera Bread,Bagels & Spreads,Asiago Cheese Bagel,320,14,55,5,1 Bagel,,540,2,4,3,0,15,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",50,
Panera Bread,Bagels & Spreads,Asiago Everything Bagel,330,14,56,6,1 Bagel,,680,2,4,3.5,0,15,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",60,
Panera Bread,Bagels & Spreads,Blueberry Bagel,290,10,61,1,1 Bagel,,390,2,10,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",10,
Panera Bread,Bagels & Spreads,Cinnamon Crunch Bagel,420,9,82,7,1 Bagel,,380,2,33,5,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",60,
Panera Bread,Bagels & Spreads,Cinnamon Swirl & Raisin Bagel,320,10,65,1.5,1 Bagel,,410,3,12,1,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",15,
Panera Bread,Bagels & Spreads,Everything Bagel,290,10,58,1.5,1 Bagel,,550,2,4,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",15,
Panera Bread,Bagels & Spreads,Honey Walnut Cream Cheese Spread - 1.5 oz,130,4,9,10,1 Container,,160,0,8,6,0,25,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",90,
Panera Bread,Bagels & Spreads,Honey Walnut Cream Cheese Spread - 8 oz,90,3,6,7,2 Tbsp,,110,0,5,4.5,0,20,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",60,
Panera Bread,Bagels & Spreads,Multigrain Bagel Flat,180,7,32,3,1 Bagel Flat,,460,3,1,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",25,
Panera Bread,Bagels & Spreads,Plain Bagel,280,10,57,1,1 Bagel,,410,2,4,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",10,
Panera Bread,Bagels & Spreads,Plain Cream Cheese Spread - 1.5 oz,140,2,1,14,1 Container,,150,0,1,11,0,40,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",130,
Panera Bread,Bagels & Spreads,Plain Cream Cheese Spread - 8 oz,100,2,<1,10,2 Tbsp,,110,0,1,8,0,25,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",90,
Panera Bread,Bagels & Spreads,Sesame Bagel,300,11,58,3,1 Bagel,,410,2,4,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",25,
Panera Bread,Breads,Artisan Ciabatta,150,6,30,1.5,2 oz (about 3 1/2 inch slice/ 57g),57,280,1,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",10,
Panera Bread,Breads,Black Pepper Focaccia,140,5,26,1.5,2 oz (57g / about 5 inch slice),57,350,1,0,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",15,
Panera Bread,Breads,Bread Portion - Half Sandwich & Breakfast - Artisan Ciabatta,200,7,38,2,1/4 Loaf,,360,2,1,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",15,
Panera Bread,Breads,Bread Portion - Half Sandwich & Breakfast - Black Pepper Focaccia,180,6,33,2,1/4 Loaf,,440,1,1,0,0,0,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",20,
Panera Bread,Breads,Bread Portion - Half Sandwich & Breakfast- Classic White Miche,190,6,31,4.5,1 Slice,,300,1,4,2.5,0,15,FALSE,"Panera Bread Nutrition Guide, effective 4/8/2026, parsed from c4-26-nutrition-guide.pdf",40,
